transport_type,route_id,origin_station,destination_station,weather_condition,event_type,season,day_of_week,temperature_C,humidity_percent,wind_speed_kmh,precipitation_mm,traffic_congestion_index,holiday,peak_hour,event_attendance_est,log_event_attendance,has_event,year,month,day_of_month,weekday_num,is_weekend,quarter,departure_hour,departure_minute,arrival_hour,arrival_minute,departure_minutes,arrival_minutes,scheduled_trip_duration_min,departure_hour_sin,departure_hour_cos
Train,Route_2,Station_18,Station_42,Storm,Sports,Summer,Saturday,5.5,59,12,4.2,73,0,0,0,0.0,0,2023,1,14,5,1,1,21,30,21,54,1290,1314,24,-0.608761429008721,0.7933533402912349
Metro,Route_6,Station_25,Station_6,Rain,Unknown / Missing Event,Spring,Saturday,20.8,61,47,13.7,87,0,0,0,0.0,0,2023,1,14,5,1,1,20,19,20,40,1219,1240,21,-0.821646937942164,0.5699967625963025
Bus,Route_2,Station_44,Station_13,Storm,Unknown / Missing Event,Spring,Saturday,32.0,77,49,4.9,25,0,1,0,0.0,0,2023,1,21,5,1,1,8,2,8,42,482,522,40,0.8616291604415257,-0.5075383629607043
Train,Route_4,Station_42,Station_45,Clear,Unknown / Missing Event,Autumn,Tuesday,12.7,36,1,11.9,32,0,0,50000,10.819798284210286,1,2023,1,10,1,0,1,21,0,21,20,1260,1280,20,-0.7071067811865477,0.7071067811865474
Metro,Route_3,Station_34,Station_34,Clear,Protest,Spring,Tuesday,26.3,77,31,3.5,50,0,0,0,0.0,0,2023,1,10,1,0,1,6,45,7,18,405,438,33,0.9807852804032305,-0.19509032201612797
Train,Route_2,Station_17,Station_43,Fog,Unknown / Missing Event,Winter,Tuesday,-2.9,47,53,3.2,16,0,0,0,0.0,0,2023,1,17,1,0,1,17,15,18,11,1035,1091,56,-0.9807852804032303,-0.19509032201612866
Tram,Route_2,Station_25,Station_9,Storm,Festival,Autumn,Tuesday,2.5,32,56,16.2,76,0,0,0,0.0,0,2023,1,3,1,0,1,1,0,1,44,60,104,44,0.25881904510252074,0.9659258262890683
Bus,Route_3,Station_41,Station_22,Rain,Unknown / Missing Event,Spring,Thursday,21.7,45,41,14.3,90,1,0,0,0.0,0,2023,1,5,3,0,1,12,49,13,19,769,799,30,-0.21217767215644617,-0.9772311064626789
Metro,Route_12,Station_26,Station_35,Snow,Unknown / Missing Event,Winter,Thursday,32.1,69,50,13.4,4,0,0,0,0.0,0,2023,1,5,3,0,1,11,3,11,32,663,692,29,0.24615329302899322,-0.9692309097067543
Metro,Route_9,Station_10,Station_45,Fog,Unknown / Missing Event,Spring,Thursday,3.3,43,36,1.7,26,0,0,2000,7.601402334583733,1,2023,1,5,3,0,1,2,47,3,29,167,209,42,0.6658816660008343,0.7460573750616994
Train,Route_11,Station_31,Station_34,Storm,Unknown / Missing Event,Autumn,Saturday,27.0,67,59,6.6,52,0,0,0,0.0,0,2023,1,14,5,1,1,9,0,9,37,540,577,37,0.7071067811865476,-0.7071067811865475
Train,Route_19,Station_46,Station_32,Storm,Unknown / Missing Event,Spring,Monday,0.7,95,17,16.4,42,0,0,2000,7.601402334583733,1,2023,1,16,0,0,1,5,15,5,35,315,335,20,0.9807852804032304,0.19509032201612833
Train,Route_16,Station_29,Station_6,Rain,Festival,Spring,Thursday,17.0,60,32,19.8,70,1,0,0,0.0,0,2023,1,12,3,0,1,23,19,0,4,1399,4,45,-0.17794354547384153,0.9840406976462909
Tram,Route_10,Station_12,Station_19,Snow,Concert,Summer,Thursday,7.7,93,39,17.3,71,0,1,0,0.0,0,2023,1,19,3,0,1,15,45,16,16,945,976,31,-0.8314696123025448,-0.555570233019603
Metro,Route_5,Station_28,Station_24,Snow,Unknown / Missing Event,Winter,Tuesday,29.5,78,51,12.3,67,0,0,10000,9.210440366976517,1,2023,1,17,1,0,1,7,33,8,23,453,503,50,0.9187912101488983,-0.39474385638426723
Metro,Route_7,Station_4,Station_1,Clear,Unknown / Missing Event,Spring,Thursday,0.2,89,59,1.7,8,0,1,10000,9.210440366976517,1,2023,1,5,3,0,1,19,17,20,2,1157,1202,45,-0.9440890203927844,0.32969064526278663
Train,Route_1,Station_20,Station_15,Clear,Unknown / Missing Event,Summer,Friday,33.9,65,38,18.0,4,0,1,0,0.0,0,2023,1,6,4,0,1,8,18,9,2,498,542,44,0.8241261886220158,-0.5664062369248326
Bus,Route_9,Station_9,Station_23,Clear,Festival,Spring,Saturday,-4.5,59,23,7.7,23,0,0,0,0.0,0,2023,1,21,5,1,1,17,16,18,8,1036,1088,52,-0.9816271834476639,-0.19080899537654547
Train,Route_1,Station_30,Station_41,Storm,Festival,Spring,Wednesday,4.3,80,40,0.3,11,0,0,0,0.0,0,2023,1,4,2,0,1,4,2,4,27,242,267,25,0.8703556959398997,0.4924235601034671
Bus,Route_18,Station_43,Station_35,Fog,Unknown / Missing Event,Winter,Saturday,30.3,92,16,19.8,77,0,0,0,0.0,0,2023,1,21,5,1,1,22,17,23,8,1337,1388,51,-0.4344452574044177,0.9006982393225875
Bus,Route_18,Station_10,Station_18,Rain,Unknown / Missing Event,Spring,Monday,8.7,63,5,2.5,16,0,0,0,0.0,0,2023,1,9,0,0,1,20,46,21,22,1246,1282,36,-0.7489557207890021,0.6626200482157375
Metro,Route_18,Station_36,Station_35,Fog,Unknown / Missing Event,Spring,Sunday,22.4,58,21,1.6,73,0,0,50000,10.819798284210286,1,2023,1,1,6,1,1,12,4,12,58,724,778,54,-0.017452406437283192,-0.9998476951563913
Train,Route_4,Station_11,Station_33,Clear,Unknown / Missing Event,Summer,Saturday,32.0,92,40,14.5,93,0,0,50000,10.819798284210286,1,2023,1,14,5,1,1,16,46,17,27,1006,1047,41,-0.9483236552061992,-0.31730465640509264
Train,Route_8,Station_49,Station_45,Storm,Concert,Summer,Wednesday,5.3,75,47,19.3,58,0,0,500,6.2166061010848646,1,2023,1,11,2,0,1,23,49,0,12,1429,12,23,-0.04797812852134387,0.9988483864849507
Bus,Route_19,Station_45,Station_30,Cloudy,Festival,Summer,Saturday,9.5,47,19,18.4,6,0,0,0,0.0,0,2023,1,21,5,1,1,17,45,18,20,1065,1100,35,-0.9978589232386035,-0.06540312923014362
Train,Route_17,Station_11,Station_47,Snow,Protest,Summer,Tuesday,4.8,94,9,8.8,47,1,0,2000,7.601402334583733,1,2023,1,3,1,0,1,16,3,16,51,963,1011,48,-0.872496007072797,-0.4886212414969553
Train,Route_11,Station_32,Station_5,Clear,Protest,Autumn,Tuesday,2.0,57,44,2.3,51,0,0,0,0.0,0,2023,1,3,1,0,1,4,19,4,43,259,283,24,0.9044551454543679,0.4265687399014585
Bus,Route_2,Station_17,Station_39,Fog,Festival,Winter,Tuesday,0.0,65,10,1.5,63,0,1,0,0.0,0,2023,1,3,1,0,1,13,31,14,17,811,857,46,-0.38671096163682067,-0.9222009716704518
Metro,Route_5,Station_25,Station_8,Snow,Sports,Autumn,Thursday,25.5,93,15,14.6,28,0,0,10000,9.210440366976517,1,2023,1,19,3,0,1,17,30,18,6,1050,1086,36,-0.9914448613738104,-0.13052619222005163
Tram,Route_17,Station_8,Station_30,Snow,Sports,Winter,Tuesday,20.6,77,27,2.4,30,0,0,0,0.0,0,2023,1,17,1,0,1,10,17,10,51,617,651,34,0.4344452574044172,-0.9006982393225879
Metro,Route_9,Station_27,Station_5,Snow,Festival,Winter,Sunday,24.1,67,17,13.6,92,0,0,0,0.0,0,2023,1,1,6,1,1,11,4,11,42,664,702,38,0.24192189559966773,-0.9702957262759965
Metro,Route_4,Station_30,Station_37,Fog,Protest,Winter,Sunday,18.1,37,6,5.5,87,0,1,500,6.2166061010848646,1,2023,1,8,6,1,1,2,0,2,52,120,172,52,0.49999999999999994,0.8660254037844387
Metro,Route_11,Station_29,Station_14,Clear,Concert,Summer,Thursday,-3.9,88,27,4.4,31,0,0,2000,7.601402334583733,1,2023,1,5,3,0,1,1,32,2,22,92,142,50,0.3907311284892737,0.9205048534524404
Train,Route_14,Station_2,Station_39,Snow,Unknown / Missing Event,Autumn,Saturday,7.7,68,36,12.6,41,0,1,10000,9.210440366976517,1,2023,1,7,5,1,1,17,19,18,10,1039,1090,51,-0.9840406976462908,-0.17794354547384236
Metro,Route_15,Station_19,Station_39,Snow,Sports,Summer,Thursday,32.1,77,45,12.6,69,0,0,0,0.0,0,2023,1,12,3,0,1,5,48,6,20,348,380,32,0.9986295347545738,0.052335956242943966
Train,Route_1,Station_24,Station_2,Rain,Festival,Spring,Tuesday,10.4,80,33,13.2,8,0,1,0,0.0,0,2023,1,3,1,0,1,19,34,20,5,1174,1205,31,-0.917060074385124,0.39874906892524625
Metro,Route_16,Station_38,Station_34,Cloudy,Concert,Summer,Wednesday,7.4,74,18,7.9,1,0,0,500,6.2166061010848646,1,2023,1,18,2,0,1,21,46,22,23,1306,1343,37,-0.5519369853120577,0.8338858220671685
Metro,Route_6,Station_35,Station_17,Cloudy,Sports,Summer,Tuesday,18.2,48,39,19.3,21,0,0,0,0.0,0,2023,1,17,1,0,1,0,34,1,19,34,79,45,0.14780941112961063,0.9890158633619168
Metro,Route_18,Station_20,Station_22,Rain,Parade,Summer,Thursday,19.1,55,27,5.1,60,0,0,500,6.2166061010848646,1,2023,1,12,3,0,1,13,34,14,6,814,846,32,-0.3987490689252463,-0.917060074385124
Bus,Route_10,Station_21,Station_2,Clear,Unknown / Missing Event,Winter,Wednesday,24.4,96,19,6.3,39,0,0,0,0.0,0,2023,1,18,2,0,1,18,45,19,40,1125,1180,55,-0.9807852804032304,0.1950903220161283
Metro,Route_13,Station_29,Station_2,Fog,Unknown / Missing Event,Autumn,Wednesday,23.0,78,55,1.2,64,0,0,2000,7.601402334583733,1,2023,1,4,2,0,1,13,31,13,58,811,838,27,-0.38671096163682067,-0.9222009716704518
Metro,Route_12,Station_35,Station_20,Rain,Unknown / Missing Event,Summer,Saturday,30.9,95,50,1.4,86,0,0,0,0.0,0,2023,1,14,5,1,1,5,16,5,36,316,336,20,0.981627183447664,0.19080899537654492
Tram,Route_5,Station_22,Station_19,Clear,Concert,Autumn,Sunday,10.5,63,55,5.7,82,0,1,10000,9.210440366976517,1,2023,1,8,6,1,1,19,31,20,6,1171,1206,35,-0.9222009716704518,0.3867109616368206
Tram,Route_8,Station_12,Station_7,Rain,Parade,Autumn,Monday,20.6,51,19,3.8,28,0,0,0,0.0,0,2023,1,16,0,0,1,18,1,18,57,1081,1137,56,-0.9999904807207345,0.004363309284747004
Metro,Route_8,Station_3,Station_41,Snow,Unknown / Missing Event,Spring,Saturday,29.5,94,1,1.0,25,0,0,0,0.0,0,2023,1,7,5,1,1,18,47,19,15,1127,1155,28,-0.979045472484584,0.203641751140177
Bus,Route_8,Station_21,Station_44,Rain,Unknown / Missing Event,Summer,Wednesday,-3.5,90,31,10.3,13,0,0,0,0.0,0,2023,1,18,2,0,1,14,46,15,30,886,930,44,-0.6626200482157372,-0.7489557207890024
Tram,Route_13,Station_36,Station_28,Clear,Sports,Winter,Thursday,27.6,30,5,15.0,96,0,0,2000,7.601402334583733,1,2023,1,12,3,0,1,11,3,11,22,663,682,19,0.24615329302899322,-0.9692309097067543
Tram,Route_20,Station_27,Station_32,Rain,Unknown / Missing Event,Summer,Friday,33.0,67,20,6.7,90,0,0,0,0.0,0,2023,1,13,4,0,1,14,33,15,26,873,926,53,-0.6190939493098341,-0.7853169308807448
Bus,Route_3,Station_37,Station_23,Snow,Unknown / Missing Event,Autumn,Monday,-4.8,65,29,18.2,8,0,0,0,0.0,0,2023,1,2,0,0,1,14,15,14,36,855,876,21,-0.5555702330196023,-0.8314696123025452
Tram,Route_10,Station_45,Station_45,Snow,Concert,Summer,Thursday,-3.1,92,15,18.2,84,0,0,2000,7.601402334583733,1,2023,1,12,3,0,1,21,16,21,47,1276,1307,31,-0.6560590289905074,0.7547095802227719
Bus,Route_1,Station_40,Station_50,Clear,Unknown / Missing Event,Summer,Saturday,-2.1,43,30,15.3,14,0,0,0,0.0,0,2023,1,7,5,1,1,13,33,14,26,813,866,53,-0.3947438563842668,-0.9187912101488985
Train,Route_8,Station_23,Station_10,Fog,Unknown / Missing Event,Summer,Sunday,9.1,93,42,4.4,88,0,0,50000,10.819798284210286,1,2023,1,1,6,1,1,7,17,8,12,437,492,55,0.9440890203927843,-0.3296906452627872
Bus,Route_17,Station_30,Station_47,Fog,Unknown / Missing Event,Spring,Sunday,33.0,55,40,7.5,48,1,0,0,0.0,0,2023,1,8,6,1,1,19,4,19,39,1144,1179,35,-0.9612616959383188,0.2756373558169994
Bus,Route_5,Station_3,Station_31,Clear,Unknown / Missing Event,Summer,Friday,9.4,34,26,10.1,10,0,1,0,0.0,0,2023,1,6,4,0,1,8,30,9,20,510,560,50,0.7933533402912352,-0.6087614290087207
Tram,Route_11,Station_36,Station_18,Clear,Sports,Winter,Wednesday,34.0,96,33,7.4,96,0,0,500,6.2166061010848646,1,2023,1,18,2,0,1,23,30,0,28,1410,28,58,-0.13052619222005168,0.9914448613738104
Bus,Route_6,Station_40,Station_17,Fog,Festival,Winter,Monday,-1.6,79,39,8.3,20,0,0,0,0.0,0,2023,1,2,0,0,1,10,46,11,29,646,689,43,0.31730465640509214,-0.9483236552061993
Tram,Route_2,Station_8,Station_40,Fog,Unknown / Missing Event,Winter,Tuesday,11.6,43,47,6.2,26,0,1,10000,9.210440366976517,1,2023,1,17,1,0,1,10,31,11,15,631,675,44,0.37864861735243294,-0.9255405040175664
Metro,Route_20,Station_42,Station_38,Clear,Sports,Spring,Wednesday,13.2,37,15,6.0,58,1,0,500,6.2166061010848646,1,2023,1,4,2,0,1,22,15,22,48,1335,1368,33,-0.4422886902190014,0.8968727415326883
Metro,Route_9,Station_49,Station_36,Storm,Unknown / Missing Event,Summer,Thursday,27.9,95,12,11.9,89,0,0,50000,10.819798284210286,1,2023,1,19,3,0,1,19,15,19,47,1155,1187,32,-0.9469301294951057,0.3214394653031615
Train,Route_5,Station_10,Station_34,Clear,Protest,Autumn,Saturday,13.2,34,23,15.9,53,0,0,0,0.0,0,2023,1,14,5,1,1,14,46,15,14,886,914,28,-0.6626200482157372,-0.7489557207890024
Train,Route_18,Station_43,Station_12,Clear,Concert,Winter,Wednesday,24.1,50,56,4.9,36,0,0,0,0.0,0,2023,1,4,2,0,1,14,19,15,1,859,901,42,-0.5699967625963029,-0.8216469379421637
Train,Route_12,Station_9,Station_44,Snow,Festival,Autumn,Monday,-2.3,65,21,18.9,31,0,0,500,6.2166061010848646,1,2023,1,2,0,0,1,4,49,5,15,289,315,26,0.9523957996432784,0.3048642990280109
Metro,Route_1,Station_33,Station_26,Fog,Unknown / Missing Event,Spring,Sunday,10.7,68,26,8.0,93,0,0,500,6.2166061010848646,1,2023,1,15,6,1,1,6,1,6,44,361,404,43,0.9999904807207345,-0.00436330928474646
Bus,Route_3,Station_20,Station_26,Rain,Unknown / Missing Event,Spring,Saturday,-3.2,38,53,11.8,7,0,0,0,0.0,0,2023,1,21,5,1,1,1,31,2,17,91,137,46,0.3867109616368206,0.9222009716704518
Train,Route_19,Station_10,Station_6,Cloudy,Protest,Winter,Thursday,-3.7,86,13,0.8,66,0,1,2000,7.601402334583733,1,2023,1,5,3,0,1,12,0,12,43,720,763,43,1.2246467991473532e-16,-1.0
Metro,Route_11,Station_4,Station_26,Cloudy,Unknown / Missing Event,Summer,Friday,1.4,99,53,0.6,23,0,0,2000,7.601402334583733,1,2023,1,6,4,0,1,9,18,9,49,558,589,31,0.6494480483301838,-0.7604059656000309
Bus,Route_9,Station_12,Station_25,Rain,Unknown / Missing Event,Autumn,Thursday,9.0,43,18,13.3,13,0,1,0,0.0,0,2023,1,12,3,0,1,10,19,10,42,619,642,23,0.42656873990145816,-0.9044551454543681
Metro,Route_15,Station_24,Station_45,Clear,Unknown / Missing Event,Summer,Friday,18.9,54,26,4.2,41,0,0,0,0.0,0,2023,1,6,4,0,1,1,31,1,55,91,115,24,0.3867109616368206,0.9222009716704518
Metro,Route_5,Station_27,Station_18,Fog,Unknown / Missing Event,Autumn,Sunday,5.5,75,31,18.7,51,0,1,0,0.0,0,2023,1,1,6,1,1,15,48,16,18,948,978,30,-0.8386705679454242,-0.544639035015027
Metro,Route_4,Station_17,Station_33,Storm,Unknown / Missing Event,Spring,Wednesday,28.1,56,34,4.5,27,0,0,10000,9.210440366976517,1,2023,1,18,2,0,1,13,34,14,11,814,851,37,-0.3987490689252463,-0.917060074385124
Bus,Route_3,Station_2,Station_3,Storm,Unknown / Missing Event,Winter,Sunday,21.9,43,39,6.8,49,0,0,2000,7.601402334583733,1,2023,1,8,6,1,1,22,46,23,30,1366,1410,44,-0.31730465640509187,0.9483236552061994
Metro,Route_10,Station_39,Station_16,Rain,Parade,Spring,Wednesday,12.7,66,35,9.1,40,0,1,0,0.0,0,2023,1,11,2,0,1,12,19,13,0,739,780,41,-0.08280820751220438,-0.9965655024977614
Train,Route_2,Station_3,Station_19,Cloudy,Sports,Spring,Monday,10.0,42,32,1.0,53,0,0,0,0.0,0,2023,1,16,0,0,1,3,4,3,35,184,215,31,0.7193398003386511,0.6946583704589974
Tram,Route_15,Station_5,Station_9,Rain,Unknown / Missing Event,Winter,Saturday,26.0,81,51,15.1,58,1,0,0,0.0,0,2023,1,14,5,1,1,12,18,12,35,738,755,17,-0.07845909572784482,-0.996917333733128
Metro,Route_18,Station_38,Station_48,Storm,Festival,Spring,Saturday,22.3,80,3,16.2,73,0,0,0,0.0,0,2023,1,21,5,1,1,20,30,21,14,1230,1274,44,-0.7933533402912352,0.6087614290087205
Tram,Route_1,Station_34,Station_23,Snow,Unknown / Missing Event,Summer,Monday,0.7,65,44,3.4,32,0,0,0,0.0,0,2023,1,16,0,0,1,16,18,17,3,978,1023,45,-0.9025852843498606,-0.43051109680829514
Train,Route_16,Station_31,Station_27,Cloudy,Unknown / Missing Event,Summer,Sunday,7.7,64,17,18.4,65,0,0,0,0.0,0,2023,1,15,6,1,1,20,0,20,43,1200,1243,43,-0.8660254037844386,0.5000000000000001
Bus,Route_6,Station_4,Station_44,Snow,Unknown / Missing Event,Spring,Saturday,-2.4,69,0,3.8,8,0,0,2000,7.601402334583733,1,2023,1,21,5,1,1,13,46,14,12,826,852,26,-0.44619781310980877,-0.8949343616020251
Tram,Route_18,Station_22,Station_28,Clear,Unknown / Missing Event,Spring,Sunday,29.0,75,39,0.7,78,0,0,0,0.0,0,2023,1,8,6,1,1,14,30,15,11,870,911,41,-0.6087614290087207,-0.7933533402912352
Tram,Route_9,Station_13,Station_45,Storm,Unknown / Missing Event,Summer,Monday,24.4,83,41,3.0,75,0,1,2000,7.601402334583733,1,2023,1,9,0,0,1,22,3,22,22,1323,1342,19,-0.48862124149695535,0.872496007072797
Bus,Route_9,Station_50,Station_44,Snow,Unknown / Missing Event,Winter,Sunday,7.9,62,59,2.9,39,0,0,0,0.0,0,2023,1,15,6,1,1,23,47,0,42,1427,42,55,-0.05669278756337689,0.9983916705573489
Bus,Route_13,Station_49,Station_23,Snow,Concert,Winter,Friday,16.7,66,25,8.0,61,0,0,2000,7.601402334583733,1,2023,1,6,4,0,1,21,0,21,37,1260,1297,37,-0.7071067811865477,0.7071067811865474
Bus,Route_13,Station_9,Station_25,Rain,Protest,Winter,Monday,13.2,31,17,9.3,41,0,0,10000,9.210440366976517,1,2023,1,9,0,0,1,12,1,12,25,721,745,24,-0.004363309284746176,-0.9999904807207345
Tram,Route_18,Station_20,Station_14,Storm,Parade,Summer,Saturday,16.6,72,41,14.6,97,0,0,2000,7.601402334583733,1,2023,1,14,5,1,1,2,47,3,30,167,210,43,0.6658816660008343,0.7460573750616994
Tram,Route_14,Station_27,Station_15,Clear,Unknown / Missing Event,Autumn,Thursday,-0.5,56,16,6.0,55,0,0,50000,10.819798284210286,1,2023,1,5,3,0,1,7,34,8,12,454,492,38,0.9170600743851242,-0.398749068925246
Metro,Route_4,Station_38,Station_39,Snow,Unknown / Missing Event,Winter,Sunday,18.8,57,15,10.5,6,0,0,500,6.2166061010848646,1,2023,1,8,6,1,1,14,17,15,1,857,901,44,-0.5628049276950682,-0.8265897491271889
Metro,Route_4,Station_20,Station_33,Snow,Unknown / Missing Event,Summer,Sunday,6.3,88,21,15.9,57,0,0,0,0.0,0,2023,1,8,6,1,1,5,31,5,52,331,352,21,0.992004949679715,0.12619896913582973
Bus,Route_19,Station_38,Station_24,Storm,Unknown / Missing Event,Winter,Friday,27.5,88,48,12.7,64,0,1,2000,7.601402334583733,1,2023,1,20,4,0,1,15,46,16,16,946,976,30,-0.8338858220671681,-0.5519369853120584
Tram,Route_8,Station_16,Station_21,Snow,Festival,Winter,Tuesday,18.0,94,31,7.1,42,0,0,0,0.0,0,2023,1,10,1,0,1,21,31,22,28,1291,1348,57,-0.6052939880428949,0.7960020025346217
Train,Route_1,Station_48,Station_22,Rain,Unknown / Missing Event,Autumn,Sunday,17.4,45,31,12.1,13,0,0,2000,7.601402334583733,1,2023,1,15,6,1,1,16,30,17,29,990,1049,59,-0.9238795325112868,-0.3826834323650895
Train,Route_5,Station_5,Station_39,Fog,Unknown / Missing Event,Autumn,Friday,15.4,34,31,9.1,78,0,0,10000,9.210440366976517,1,2023,1,20,4,0,1,6,0,6,41,360,401,41,1.0,6.123233995736766e-17
Metro,Route_3,Station_35,Station_26,Rain,Unknown / Missing Event,Spring,Wednesday,25.8,99,7,14.4,49,0,0,0,0.0,0,2023,1,4,2,0,1,9,30,10,4,570,604,34,0.6087614290087204,-0.7933533402912353
Tram,Route_20,Station_1,Station_3,Fog,Sports,Winter,Sunday,14.7,66,24,6.9,50,0,0,0,0.0,0,2023,1,15,6,1,1,2,2,2,56,122,176,54,0.5075383629607041,0.8616291604415258
Train,Route_8,Station_4,Station_44,Cloudy,Unknown / Missing Event,Summer,Saturday,2.9,80,53,18.2,80,0,1,0,0.0,0,2023,1,21,5,1,1,2,46,3,39,166,219,53,0.6626200482157375,0.7489557207890021
Metro,Route_17,Station_32,Station_40,Rain,Protest,Spring,Sunday,25.2,44,21,2.3,41,0,0,0,0.0,0,2023,1,1,6,1,1,6,15,6,56,375,416,41,0.9978589232386035,-0.06540312923014292
Metro,Route_6,Station_20,Station_18,Snow,Unknown / Missing Event,Autumn,Tuesday,11.2,47,0,10.4,75,0,0,50000,10.819798284210286,1,2023,1,17,1,0,1,14,30,15,20,870,920,50,-0.6087614290087207,-0.7933533402912352
Bus,Route_17,Station_26,Station_24,Cloudy,Unknown / Missing Event,Spring,Thursday,32.8,70,55,13.2,67,1,0,50000,10.819798284210286,1,2023,1,5,3,0,1,16,34,17,29,994,1049,55,-0.9304175679820246,-0.3665012267242972
Bus,Route_18,Station_9,Station_42,Storm,Sports,Summer,Thursday,1.1,85,30,11.1,48,0,0,500,6.2166061010848646,1,2023,1,12,3,0,1,3,0,3,27,180,207,27,0.7071067811865476,0.7071067811865476
Tram,Route_8,Station_25,Station_14,Snow,Unknown / Missing Event,Spring,Monday,31.9,65,19,1.1,54,0,0,2000,7.601402334583733,1,2023,1,9,0,0,1,2,47,3,17,167,197,30,0.6658816660008343,0.7460573750616994
Train,Route_20,Station_49,Station_36,Snow,Concert,Spring,Monday,3.0,40,34,9.7,0,1,0,500,6.2166061010848646,1,2023,1,2,0,0,1,12,30,13,8,750,788,38,-0.13052619222005132,-0.9914448613738105
Tram,Route_4,Station_4,Station_17,Clear,Concert,Spring,Friday,23.2,47,48,6.4,14,0,1,0,0.0,0,2023,1,13,4,0,1,16,32,17,8,992,1028,36,-0.9271838545667873,-0.3746065934159123
Tram,Route_1,Station_12,Station_33,Rain,Unknown / Missing Event,Winter,Wednesday,8.5,71,26,13.3,0,0,0,0,0.0,0,2023,1,18,2,0,1,9,32,9,59,572,599,27,0.6018150231520482,-0.7986355100472929
Train,Route_3,Station_19,Station_46,Storm,Unknown / Missing Event,Autumn,Sunday,13.8,70,7,5.9,82,0,0,0,0.0,0,2023,1,1,6,1,1,21,16,21,35,1276,1295,19,-0.6560590289905074,0.7547095802227719
Bus,Route_2,Station_6,Station_13,Fog,Unknown / Missing Event,Summer,Saturday,3.5,32,17,13.9,43,1,0,0,0.0,0,2023,1,21,5,1,1,23,34,0,3,1414,3,29,-0.11320321376790701,0.9935718556765875
Metro,Route_19,Station_15,Station_50,Rain,Sports,Winter,Friday,29.9,30,55,17.2,72,0,0,0,0.0,0,2023,1,20,4,0,1,15,3,15,26,903,926,23,-0.7163019434246541,-0.6977904598416802
Train,Route_18,Station_3,Station_24,Cloudy,Festival,Spring,Thursday,25.1,70,13,18.9,33,0,1,0,0.0,0,2023,1,12,3,0,1,14,30,15,3,870,903,33,-0.6087614290087207,-0.7933533402912352
Tram,Route_3,Station_47,Station_46,Rain,Festival,Summer,Monday,20.9,61,27,6.1,34,0,0,10000,9.210440366976517,1,2023,1,2,0,0,1,17,15,17,42,1035,1062,27,-0.9807852804032303,-0.19509032201612866
Train,Route_18,Station_45,Station_5,Rain,Festival,Summer,Thursday,23.1,94,19,9.9,47,0,1,50000,10.819798284210286,1,2023,1,5,3,0,1,11,15,11,36,675,696,21,0.19509032201612816,-0.9807852804032304
Tram,Route_10,Station_31,Station_21,Cloudy,Unknown / Missing Event,Winter,Saturday,2.6,44,19,17.1,2,1,0,0,0.0,0,2023,1,14,5,1,1,5,34,6,14,334,374,40,0.9935718556765875,0.11320321376790661
Tram,Route_13,Station_50,Station_43,Cloudy,Unknown / Missing Event,Autumn,Tuesday,18.0,58,57,13.5,80,0,0,0,0.0,0,2023,1,10,1,0,1,13,45,14,27,825,867,42,-0.44228869021900147,-0.8968727415326883
Tram,Route_9,Station_12,Station_43,Clear,Unknown / Missing Event,Spring,Saturday,-4.6,97,51,8.6,42,0,0,0,0.0,0,2023,1,14,5,1,1,18,33,19,22,1113,1162,49,-0.9896513868196702,0.14349262199117904
Train,Route_13,Station_36,Station_3,Clear,Unknown / Missing Event,Summer,Monday,0.0,96,51,1.4,97,0,0,0,0.0,0,2023,1,9,0,0,1,2,0,2,57,120,177,57,0.49999999999999994,0.8660254037844387
Train,Route_17,Station_11,Station_4,Fog,Unknown / Missing Event,Summer,Friday,33.2,89,29,14.9,41,1,1,0,0.0,0,2023,1,13,4,0,1,7,48,8,44,468,524,56,0.8910065241883679,-0.45399049973954675
Tram,Route_11,Station_30,Station_1,Clear,Concert,Spring,Monday,20.5,97,34,1.7,43,0,0,0,0.0,0,2023,1,16,0,0,1,6,1,6,51,361,411,50,0.9999904807207345,-0.00436330928474646
Tram,Route_4,Station_39,Station_42,Cloudy,Parade,Spring,Saturday,22.8,56,31,16.4,34,0,0,10000,9.210440366976517,1,2023,1,21,5,1,1,19,0,19,25,1140,1165,25,-0.9659258262890682,0.25881904510252113
Bus,Route_17,Station_9,Station_32,Storm,Unknown / Missing Event,Autumn,Tuesday,23.2,93,38,7.6,53,0,0,50000,10.819798284210286,1,2023,1,3,1,0,1,10,48,11,17,648,677,29,0.3090169943749475,-0.9510565162951535
Bus,Route_10,Station_49,Station_15,Rain,Concert,Autumn,Wednesday,11.4,62,11,7.2,85,0,0,0,0.0,0,2023,1,18,2,0,1,17,33,17,57,1053,1077,24,-0.9930684569549263,-0.1175373974578376
Metro,Route_13,Station_20,Station_2,Storm,Sports,Spring,Tuesday,-4.2,50,35,1.3,63,0,0,10000,9.210440366976517,1,2023,1,3,1,0,1,11,33,12,2,693,722,29,0.11753739745783798,-0.9930684569549263
Train,Route_9,Station_32,Station_10,Rain,Unknown / Missing Event,Winter,Saturday,26.9,50,16,16.9,35,1,0,0,0.0,0,2023,1,7,5,1,1,6,48,7,30,408,450,42,0.9781476007338057,-0.20791169081775912
Tram,Route_11,Station_4,Station_44,Rain,Unknown / Missing Event,Autumn,Thursday,-4.3,52,46,5.4,6,1,0,0,0.0,0,2023,1,12,3,0,1,15,48,16,27,948,987,39,-0.8386705679454242,-0.544639035015027
